key,label,suggested_label,rule_label,ml_confidence,reason,source_file,visual_id,instance,plist,die_id,vmin_found,num_rows,num_cols,total_fail_ratio,top_fail_ratio,bot_fail_ratio,left_fail_ratio,right_fail_ratio,center_fail_ratio,edge_fail_ratio,left_edge_fail_ratio,right_edge_fail_ratio,center_band_fail_ratio,q_tl_ratio,q_tr_ratio,q_bl_ratio,q_br_ratio,is_diagonal,isolated_fail_ratio,largest_cluster_ratio,avg_row_transitions,max_row_transitions,num_rows,num_cols,vertical_symmetry,horizontal_symmetry,vertical_gradient,horizontal_gradient,boundary_monotonicity,boundary_spread,aspect_ratio,fail_row_fraction,fail_col_fraction
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D63K3U5800077|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,speed_limit,speed_limit,floor,0.8933,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D63K3U5800077,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.520V,21,12,0.5714,0.2879,0.8833,0.373,0.7698,0.6212,0.5538,0.3095,0.8452,0.5595,0.0152,0.5606,0.7667,1,0,0.0069,1,0.7143,1,21,12,0.4048,0.6032,-0.5955,0.3968,1,0,0.5714,0.9524,1
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D6EY561600014|PCS_STIM_AP_HFE_OUT_Temp_Mean||0,unknown,unknown,left wall,0.9073,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D6EY561600014,PCS_STIM_AP_HFE_OUT_Temp_Mean,,,Vmin Found: 0.000V,1,128,0.5156,0.5156,0,0.9844,0.0469,0.5469,0.4844,0.9762,0,0.5682,0.9844,0.0469,0,0,0,0.0455,0.9848,4,4,1,128,1,0.0625,0.5156,-0.9375,0,0,128,1,0.5156
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FN374300110|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,speed_limit,speed_limit,floor,0.9167,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FN374300110,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.520V,21,12,0.5437,0.2348,0.8833,0.3651,0.7222,0.5455,0.543,0.3214,0.7857,0.5238,0,0.4697,0.7667,1,0,0,1,0.619,2,21,12,0.3571,0.6429,-0.6485,0.3571,1,0.1667,0.5714,0.8571,1
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D51WH87200131|TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF|scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list|0,speed_limit,speed_limit,floor,0.9233,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D51WH87200131,TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF,scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list,,Vmin Found: 0.520V,21,9,0.5344,0.1717,0.9333,0.4048,0.6381,0.5636,0.5224,0.381,0.6825,0.5397,0,0.3091,0.85,1,0,0.0099,1,0.4286,1,21,9,0.2381,0.7778,-0.7616,0.2333,1,0,0.4286,0.7619,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6HH377700208|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9234,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6HH377700208,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5669,0.5669,0,1,0.1406,0.6308,0.5,1,0,0.6977,1,0.1406,0,0,0,0.0278,1,1,1,1,127,1,0.1339,0.5669,-0.8594,0,0,127,1,0.5669
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D63K3U5800077|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9254,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D63K3U5800077,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5748,0.5748,0,1,0.1562,0.6462,0.5,1,0,0.7209,1,0.1562,0,0,0,0.0274,1,1,1,1,127,1,0.1496,0.5748,-0.8438,0,0,127,1,0.5748
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5KY222800060|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9297,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5KY222800060,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4331,0.4331,0,0.873,0,0.3692,0.5,1,0,0.3023,0.873,0,0,0,0,0.0364,1,1,1,1,127,1,0.1339,0.4331,-0.873,0,0,127,1,0.4331
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||1,unknown,unknown,left wall,0.9297,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5FW211500015,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4331,0.4331,0,0.873,0,0.3692,0.5,1,0,0.3023,0.873,0,0,0,0,0.0364,1,1,1,1,127,1,0.1339,0.4331,-0.873,0,0,127,1,0.4331
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6911LW000133|PCS_STIM_AP_HFE_OUT_Temp_Mean||0,unknown,unknown,left wall,0.9362,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6911LW000133,PCS_STIM_AP_HFE_OUT_Temp_Mean,,,Vmin Found: 0.000V,1,128,0.5547,0.5547,0,0.9844,0.125,0.625,0.4844,0.9762,0,0.6818,0.9844,0.125,0,0,0,0.0423,0.9859,4,4,1,128,1,0.1406,0.5547,-0.8594,0,0,128,1,0.5547
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D63U4E2300008|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9362,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D63U4E2300008,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,128,0.5547,0.5547,0,0.9844,0.125,0.625,0.4844,0.9762,0,0.6818,0.9844,0.125,0,0,0,0.0423,0.9859,4,4,1,128,1,0.1406,0.5547,-0.8594,0,0,128,1,0.5547
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6911LW000133|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9457,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6911LW000133,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5276,0.5276,0,1,0.0625,0.5538,0.5,1,0,0.5814,1,0.0625,0,0,0,0.0299,1,1,1,1,127,1,0.0551,0.5276,-0.9375,0,0,127,1,0.5276
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FN374300110|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9457,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FN374300110,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5276,0.5276,0,1,0.0625,0.5538,0.5,1,0,0.5814,1,0.0625,0,0,0,0.0299,1,1,1,1,127,1,0.0551,0.5276,-0.9375,0,0,127,1,0.5276
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D6EY561600014|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9619,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D6EY561600014,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5197,0.5197,0,1,0.0469,0.5385,0.5,1,0,0.5581,1,0.0469,0,0,0,0.0303,1,1,1,1,127,1,0.0394,0.5197,-0.9531,0,0,127,1,0.5197
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D63U4E2300008|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9675,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D63U4E2300008,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5197,0.5197,0,1,0.0469,0.5385,0.5,1,0,0.5581,1,0.0469,0,0,0,0.0455,0.9848,3,3,1,127,1,0.0394,0.5197,-0.9531,0,0,127,1,0.5197
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FN374300110|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9712,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FN374300110,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4331,0.4331,0,0.873,0,0.3692,0.5,1,0,0.3023,0.873,0,0,0,0,0.0545,0.9818,3,3,1,127,1,0.1339,0.4331,-0.873,0,0,127,1,0.4331
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FN374300110|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9712,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FN374300110,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4331,0.4331,0,0.873,0,0.3692,0.5,1,0,0.3023,0.873,0,0,0,0,0.0545,0.9818,3,3,1,127,1,0.1339,0.4331,-0.873,0,0,127,1,0.4331
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FS873401080|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9712,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FS873401080,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4331,0.4331,0,0.873,0,0.3692,0.5,1,0,0.3023,0.873,0,0,0,0,0.0545,0.9818,3,3,1,127,1,0.1339,0.4331,-0.873,0,0,127,1,0.4331
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6911LW000133|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911|scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,floor,floor,mixed,0.9767,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6911LW000133,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911,scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.710V,36,11,0.3333,0,0.6667,0.3278,0.338,0.1746,0.4074,0.3241,0.3519,0.3278,0,0,0.6556,0.6759,0,0,1,0.3056,6,36,11,0.3333,0.9798,-0.6667,0.0102,1,0,0.3056,0.3611,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF|scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list|0,speed_limit,speed_limit,mixed,0.9767,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5FW211500015,TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF,scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list,,Vmin Found: 0.560V,21,9,0.7249,0.4747,1,0.6548,0.781,0.9455,0.6343,0.6349,0.7937,0.746,0.3409,0.5818,1,1,0,0,1,0.2381,1,21,9,0.4497,0.8836,-0.5253,0.1262,1,0,0.4286,0.8095,1
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D6EY561600014|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,speed_limit,speed_limit,floor,0.9767,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D6EY561600014,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.520V,21,12,0.5794,0.2576,0.9333,0.4206,0.7381,0.6061,0.5699,0.381,0.8095,0.5476,0.0152,0.5,0.8667,1,0,0.0068,1,0.5714,1,21,12,0.3254,0.6825,-0.6758,0.3175,1,0,0.5714,0.9048,1
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D6BU385800058|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9800,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D6BU385800058,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.3543,0.3543,0,0.7143,0,0.2154,0.5,1,0,0.0698,0.7143,0,0,0,0,0.0444,1,1,1,1,127,1,0.2913,0.3543,-0.7143,0,0,127,1,0.3543
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5KY222800060|TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF|scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list|0,speed_limit,speed_limit,mixed,0.9867,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5KY222800060,TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF,scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list,,Vmin Found: 0.530V,21,9,0.672,0.3737,1,0.5833,0.7429,0.8,0.6194,0.5714,0.8095,0.6349,0.2045,0.5091,1,1,0,0,1,0.3333,1,21,9,0.3439,0.8307,-0.6263,0.1595,1,0,0.4286,0.8571,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF|scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list|1,speed_limit,speed_limit,mixed,0.9867,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5FW211500015,TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF,scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list,,Vmin Found: 0.550V,21,9,0.6772,0.3838,1,0.5952,0.7429,0.8545,0.6045,0.5873,0.7619,0.6825,0.2273,0.5091,1,1,0,0.0078,1,0.3333,3,21,9,0.3545,0.8624,-0.6162,0.1476,1,0,0.4286,0.8095,1
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D6BU385800058|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,speed_limit,speed_limit,floor,0.9867,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D6BU385800058,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.530V,21,12,0.5714,0.2879,0.8833,0.3889,0.754,0.6667,0.5376,0.3095,0.8095,0.5952,0.0455,0.5303,0.7667,1,0,0,1,0.7143,1,21,12,0.3968,0.6349,-0.5955,0.3651,1,0,0.5714,0.9048,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D63U4E2300008|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9895,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D63U4E2300008,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4252,0.4252,0,0.8571,0,0.3538,0.5,1,0,0.2791,0.8571,0,0,0,0,0.037,1,1,1,1,127,1,0.1496,0.4252,-0.8571,0,0,127,1,0.4252
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D63U4E2300008|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9895,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D63U4E2300008,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4252,0.4252,0,0.8571,0,0.3538,0.5,1,0,0.2791,0.8571,0,0,0,0,0.037,1,1,1,1,127,1,0.1496,0.4252,-0.8571,0,0,127,1,0.4252
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9895,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5FW211500015,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4252,0.4252,0,0.8571,0,0.3538,0.5,1,0,0.2791,0.8571,0,0,0,0,0.037,1,1,1,1,127,1,0.1496,0.4252,-0.8571,0,0,127,1,0.4252
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D51WH87200131|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.9895,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D51WH87200131,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4252,0.4252,0,0.8571,0,0.3538,0.5,1,0,0.2791,0.8571,0,0,0,0,0.037,1,1,1,1,127,1,0.1496,0.4252,-0.8571,0,0,127,1,0.4252
